#{"t_start": 1616014378.9639986, "env_id": "mimocontrol-v0"}
r,l,t
-501,501,1.686606
-501,501,11.178206
-501,501,21.211638
-501,501,31.237114
-501,501,42.616073
-501,501,54.149376
-501,501,67.85121
-501,501,80.083103
-501,501,91.1862
-501,501,102.281177
-501,501,113.347897
-501,501,124.645807
-134,134,137.244023
-354,354,141.279224
-17,17,150.24769
-501,501,151.233541
-275,275,164.509128
-501,501,172.102694
-501,501,186.004891
-465,465,199.0812
-501,501,210.291147
-501,501,221.838215
-501,501,233.600982
-501,501,246.150001
-501,501,257.335206
-501,501,268.725226
-501,501,280.397101
-501,501,291.458671
-243,243,303.201823
-501,501,309.966981
-501,501,321.492311
-501,501,335.191373
-501,501,354.158838
-501,501,372.310639
-501,501,383.943914
-501,501,395.720891
-501,501,408.331423
-501,501,421.105477
-501,501,433.950334
-501,501,445.950837
-501,501,461.405204
-501,501,475.286441
-501,501,487.155313
-501,501,498.507462
-501,501,511.799772
-501,501,523.683353
-501,501,535.453746
-21,21,546.211244
-501,501,547.317633
-501,501,560.325903
-501,501,573.243898
-501,501,585.334535
-501,501,597.794438
-501,501,611.581241
-501,501,624.595199
-501,501,636.762888
-501,501,648.095548
-501,501,660.188076
-501,501,672.148974
-501,501,684.120481
-428,428,696.133082
-501,501,706.735059
-501,501,717.639087
-501,501,731.142422
-501,501,744.290932
-501,501,756.010145
-501,501,768.832617
-501,501,783.047139
-501,501,807.972046
-501,501,822.929844
-501,501,837.83198
-501,501,851.222552
-501,501,863.204652
-501,501,874.617648
-501,501,887.225629
-319,319,898.400585
-501,501,906.752228
-501,501,917.372406
-501,501,928.295619
-501,501,940.150254
-501,501,951.344253
-501,501,962.435741
-501,501,973.192179
-501,501,985.475587
-501,501,999.341865
-501,501,1011.852609
-501,501,1025.232557
-501,501,1038.689776
-501,501,1052.451002
-501,501,1063.816943
-501,501,1074.213551
-501,501,1084.731482
-501,501,1095.272691
-501,501,1106.066364
-501,501,1116.855776
-501,501,1127.389832
-501,501,1137.932854
-501,501,1148.870394
-501,501,1159.762209
-458,458,1170.576573
-41,41,1180.502551
-501,501,1181.831078
-501,501,1194.358849
-501,501,1207.530671
-501,501,1218.573757
-501,501,1228.555651
-501,501,1238.361114
-501,501,1248.48396
-501,501,1258.352574
-501,501,1269.212585
-501,501,1279.561484
-501,501,1289.908521
-501,501,1300.284119
-501,501,1310.469651
-501,501,1321.029087
-501,501,1332.077726
-501,501,1343.86421
-501,501,1356.589418
-501,501,1367.610679
-501,501,1378.993106
-501,501,1390.19616
-167,167,1400.424778
-501,501,1404.009961
-501,501,1414.328438
-501,501,1424.741681
-418,418,1435.428419
-501,501,1444.686884
-501,501,1454.876863
-501,501,1465.257864
-501,501,1475.382797
-501,501,1485.819065
-501,501,1496.032385
-501,501,1506.261737
-501,501,1516.378304
-501,501,1526.45281
-501,501,1536.603038
-501,501,1546.775751
-162,162,1556.750306
-501,501,1560.270368
-501,501,1570.476282
-31,31,1580.533614
-501,501,1581.517987
-501,501,1591.744852
-501,501,1601.961837
-501,501,1612.205302
-501,501,1622.474847
-501,501,1632.76384
-501,501,1643.048656
-501,501,1653.561724
-501,501,1663.921669
-501,501,1674.252622
-501,501,1684.710795
-501,501,1695.144722
-501,501,1705.776518
-501,501,1716.30742
-501,501,1726.915509
-37,37,1737.782466
-501,501,1738.950326
-501,501,1750.252774
-501,501,1761.445586
-501,501,1772.061284
-501,501,1782.593837
-171,171,1792.977289
-501,501,1796.824717
-501,501,1807.45416
-501,501,1817.978588
-501,501,1828.551532
-501,501,1839.196516
-315,315,1849.69015
-501,501,1856.403296
-501,501,1867.048947
-501,501,1877.732045
-501,501,1888.401632
-501,501,1899.022821
-501,501,1909.625756
-501,501,1920.335084
-501,501,1931.000256
-501,501,1941.723767
-398,398,1952.358967
-501,501,1960.911053
-501,501,1971.614493
-501,501,1982.458871
-501,501,1993.147404
-501,501,2004.024521
-289,289,2014.596355
-501,501,2020.897605
-501,501,2031.561773
-501,501,2042.252926
-501,501,2052.915086
-501,501,2063.602757
-501,501,2074.305072
-501,501,2084.935411
-501,501,2095.61807
-501,501,2106.292334
-501,501,2116.926031
-327,327,2127.482948
-501,501,2134.582776
-501,501,2145.264622
-501,501,2155.992386
-501,501,2166.738999
-501,501,2177.382103
-501,501,2188.064184
-501,501,2198.701007
-501,501,2209.402055
-501,501,2220.098508
-501,501,2231.435404
-501,501,2242.846116
-501,501,2253.852654
-501,501,2264.571948
-501,501,2275.178221
-501,501,2285.856436
-501,501,2296.529925
-501,501,2307.27151
-501,501,2317.965837
-501,501,2328.686502
-501,501,2339.363146
-501,501,2350.025151
-501,501,2360.732908
-501,501,2371.591845
-501,501,2382.276876
-501,501,2393.077603
-501,501,2403.987226
-501,501,2414.69849
-432,432,2425.311567
-501,501,2434.59078
-501,501,2445.261628
-501,501,2455.962372
-501,501,2466.661535
-501,501,2477.388271
-501,501,2488.088223
-501,501,2498.841719
-501,501,2509.584649
-501,501,2520.292752
-501,501,2531.157392
-501,501,2541.953017
-444,444,2553.041465
-501,501,2562.881109
-501,501,2573.666235
-501,501,2584.555014
-501,501,2595.276629
-501,501,2605.995091
-501,501,2617.357929
-501,501,2628.729618
-501,501,2641.669995
-501,501,2653.217135
-501,501,2664.461737
-501,501,2675.736606
-501,501,2686.630357
-501,501,2697.368771
-501,501,2708.030858
-501,501,2718.792048
-501,501,2729.476604
-501,501,2740.192322
-501,501,2750.892472
-501,501,2761.637007
-501,501,2772.359699
-501,501,2783.139104
-501,501,2793.929349
-501,501,2804.696828
-501,501,2815.380038
-501,501,2826.091331
-501,501,2836.813527
-501,501,2847.451147
-501,501,2858.171674
-501,501,2868.948161
-501,501,2879.654115
-501,501,2890.369267
-501,501,2902.182411
-501,501,2913.454948
-501,501,2925.640496
-501,501,2937.495373
-501,501,2949.431597
-501,501,2960.859665
-501,501,2972.524408
-501,501,2984.328543
-501,501,2996.203254
-501,501,3007.940781
-501,501,3019.482948
-501,501,3031.656721
-501,501,3043.310332
-501,501,3055.406019
-100,100,3068.954204
-501,501,3072.099894
-501,501,3083.047695
-501,501,3093.953861
-501,501,3104.744647
-501,501,3116.574764
-501,501,3129.04076
-501,501,3140.569277
-461,461,3151.774739
-501,501,3162.48106
-501,501,3174.124485
-87,87,3189.194332
-501,501,3191.649785
-501,501,3203.62539
-501,501,3214.87754
-501,501,3225.697895
-317,317,3236.327773
-501,501,3243.382257
-501,501,3254.120846
-501,501,3264.839513
-501,501,3275.605106
-501,501,3286.420632
-501,501,3297.182697
-501,501,3308.004068
-501,501,3318.792948
-501,501,3329.637584
-501,501,3340.478904
-501,501,3351.36557
-501,501,3362.190835
-501,501,3372.938954
-501,501,3383.712859
-501,501,3394.518538
-501,501,3405.354766
-501,501,3416.285232
-501,501,3427.066919
-501,501,3437.840739
-501,501,3448.598904
-453,453,3459.864538
-501,501,3469.766281
-501,501,3480.512154
-501,501,3491.336084
-501,501,3502.091771
-501,501,3513.278331
-501,501,3524.598763
-501,501,3535.594642
-501,501,3546.318713
-501,501,3557.075076
-501,501,3568.263857
-501,501,3578.979058
-501,501,3589.778099
-501,501,3600.478733
-501,501,3611.180279
-501,501,3621.878034
-501,501,3632.595621
-501,501,3643.271769
-501,501,3654.211352
-501,501,3664.931922
-501,501,3675.655417
-501,501,3686.430819
-501,501,3697.181571
-501,501,3707.990247
-501,501,3718.773662
-501,501,3729.542509
-501,501,3740.245756
-501,501,3751.071096
-501,501,3761.801865
-501,501,3772.635457
-501,501,3784.231182
-501,501,3795.40889
-501,501,3806.717212
-266,266,3817.502612
-501,501,3823.638021
-501,501,3835.518274
-501,501,3847.463585
-501,501,3858.875274
-501,501,3869.695228
-501,501,3880.409351
-501,501,3891.161999
-501,501,3901.851554
-501,501,3913.265229
-337,337,3924.3665
-501,501,3932.367914
-501,501,3943.748846
-501,501,3954.737325
-501,501,3965.518337
-501,501,3976.322674
-501,501,3987.120927
-501,501,3997.850788
-501,501,4008.653099
-501,501,4019.42366
-501,501,4030.225091
-7,7,4040.713432
-501,501,4041.225097
-501,501,4051.946599
-501,501,4064.131832
-501,501,4075.071528
-501,501,4085.927995
-501,501,4096.654732
-501,501,4107.376253
-501,501,4118.085385
-501,501,4128.879571
-501,501,4139.642977
-501,501,4150.408952
-501,501,4161.214894
-501,501,4171.982206
-501,501,4183.09533
-501,501,4194.325459
-501,501,4205.396996
-501,501,4216.110203
-501,501,4226.838091
-501,501,4237.80368
-65,65,4248.272052
-289,289,4249.856308
-501,501,4256.175273
-501,501,4266.886336
-501,501,4277.598807
-501,501,4288.256078
-501,501,4298.984701
-501,501,4309.788168
-501,501,4320.465023
-501,501,4331.229231
-501,501,4341.920455
-501,501,4352.754619
-501,501,4363.533096
-501,501,4374.387342
-501,501,4385.304765
-501,501,4395.988257
-501,501,4406.796948
-501,501,4417.598421
-409,409,4428.326649
-501,501,4437.160581
-501,501,4447.897345
-501,501,4458.699013
-501,501,4469.979469
-501,501,4480.758159
-501,501,4491.56345
-501,501,4502.343049
-501,501,4513.142883
-501,501,4523.80271
-501,501,4534.518837
-501,501,4545.27283
-501,501,4556.020295
-501,501,4566.693598
-501,501,4577.406598
-501,501,4588.163104
-501,501,4598.825343
-501,501,4609.625044
-501,501,4620.460505
-32,32,4630.793335
-501,501,4631.827163
-501,501,4642.775835
-501,501,4654.04232
-290,290,4666.094887
-501,501,4672.923777
-501,501,4683.96662
-501,501,4694.606523
-501,501,4705.249797
-501,501,4715.955215
-501,501,4726.70724
